rentree_scolaire,region_academique,academie,departement,commune,numero_etablissement,denomination,patronyme,secteur,effectif_total_en_premiere_generale,effectif_total_filles,effectif_total_garcons,0105_humanites_litterature_et_philosophie_filles,0105_humanites_litterature_et_philosophie_garcons,0241_litterature_et_lca_latin_filles,0241_litterature_et_lca_latin_garcons,0242_litterature_et_lca_grec_filles,0242_litterature_et_lca_grec_garcons,0300_langues_litterature_et_cultures_etrangeres_et_regionales_filles,0300_langues_litterature_et_cultures_etrangeres_et_regionales_garcons,0439_hist_geo_geopolitique_sc_politiques_filles,0439_hist_geo_geopolitique_sc_politiques_garcons,0507_sciences_economiques_et_sociales_filles,0507_sciences_economiques_et_sociales_garcons,0613_mathematiques_filles,0613_mathematiques_garcons,0623_physique_chimie_filles,0623_physique_chimie_garcons,0629_sciences_de_la_vie_et_de_la_terre_filles,0629_sciences_de_la_vie_et_de_la_terre_garcons,0673_sciences_de_l_ingenieur_filles,0673_sciences_de_l_ingenieur_garcons,0747_numerique_et_sciences_informatiques_filles,0747_numerique_et_sciences_informatiques_garcons,0825_danse_filles,0825_danse_garcons,0832_musique_filles,0832_musique_garcons,0901_arts_plastiques_filles,0901_arts_plastiques_garcons,2757_histoire_des_arts_filles,2757_histoire_des_arts_garcons,2785_theatre_filles,2785_theatre_garcons,2786_arts_du_cirque_filles,2786_arts_du_cirque_garcons,2852_cinema_audiovisuel_filles,2852_cinema_audiovisuel_garcons,3045_biologie_ecologie_filles,3045_biologie_ecologie_garcons,01_mathematiques_physique_chimie_sciences_de_la_vie_et_de_la_terre_filles,01_mathematiques_physique_chimie_sciences_de_la_vie_et_de_la_terre_garcons,02_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_so,02_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_s0,03_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_economiques_et_sociales_filles,03_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_economiques_et_sociales_garcons,04_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_sciences_economiques_et_,04_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_sciences_economiques_et0,05_mathematiques_numerique_et_sciences_informatiques_physique_chimie_filles,05_mathematiques_numerique_et_sciences_informatiques_physique_chimie_garcons,06_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_langues_litt_et_cultures,06_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_langues_litt_et_culture0,07_mathematiques_physique_chimie_sciences_de_l_ingenieur_filles,07_mathematiques_physique_chimie_sciences_de_l_ingenieur_garcons,08_mathematiques_physique_chimie_sciences_economiques_et_sociales_filles,08_mathematiques_physique_chimie_sciences_economiques_et_sociales_garcons,09_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_economiques_et_sociales_filles,09_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_economiques_et_sociales_garcons,10_mathematiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_filles,10_mathematiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_garcons,11_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_,11_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la0,12_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_s,12_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_0,13_langues_litt_et_cultures_etra_et_r_mathematiques_physique_chimie_filles,13_langues_litt_et_cultures_etra_et_r_mathematiques_physique_chimie_garcons,14_hist_geo_geopolitique_sc_politiques_mathematiques_physique_chimie_filles,14_hist_geo_geopolitique_sc_politiques_mathematiques_physique_chimie_garcons,15_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_t,15_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_0,16_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_de_la_vie_et_de_la_terre_filles,16_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons,17_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_de_la_vie_et_de_la_terre_filles,17_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons,18_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_mathematiques_filles,18_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_mathematiques_garcons,autres_combinaisons_filles,autres_combinaisons_garcons,1087_educ_physique_pratique_cult_sportive_filles,1087_educ_physique_pratique_cult_sportive_garcons
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0030051P,LGT LYCEE DES METIERS,ALBERT LONDRES,PUBLIC,378,168.0,210,66,28,0,0,0,0,69,37,81,54,104,71,114,120,81,88,92,54,3,30,1,13,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,77,44,20,14,12,16,33,17,1,13,16,7,3,30,0,1,6,6,15,10,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,19,9,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030025L,LYCEE GENERAL,MADAME DE STAEL,PUBLIC,350,119.0,231,74,25,0,0,0,0,76,33,100,51,135,73,110,63,50,39,73,27,0,0,9,22,0,0,9,3,24,8,0,0,16,2,0,0,17,11,0,0,35,14,17,11,26,14,21,14,1,7,9,1,0,0,2,9,7,3,10,5,3,2,5,1,3,1,3,0,4,1,1,0,3,0,0,0,81,36,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,AURILLAC,0150646W,LYCEE GENERAL,EMILE DUCLAUX,PUBLIC,231,79.0,152,28,5,0,0,0,0,63,14,51,22,73,33,94,58,49,49,72,32,0,0,4,18,0,0,0,0,19,4,0,0,3,2,0,0,0,0,0,0,40,23,14,5,13,2,2,3,0,11,6,0,0,0,2,8,7,1,12,2,4,4,7,0,4,3,0,1,4,0,1,0,1,0,4,1,31,15,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,MAURIAC,0150747F,LPO LYCEE DES METIERS,,PUBLIC,50,20.0,30,14,2,0,0,0,0,9,1,7,5,13,3,19,17,12,18,13,8,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,0,0,0,3,2,1,6,1,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,9,1,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,SAINT-FLOUR,0150030B,LYCEE POLYVALENT,DE HAUTE AUVERGNE,PUBLIC,127,56.0,71,22,6,0,0,0,0,26,10,25,24,37,23,38,46,25,25,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,4,2,4,8,6,3,0,0,3,2,0,0,1,1,3,1,5,5,1,3,1,0,4,1,0,2,4,0,1,3,1,3,0,1,19,1,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430020N,LPO LYCEE DES METIERS,CHARLES ET ADRIEN DUPUY,PUBLIC,141,69.0,72,31,8,0,0,0,0,15,18,33,30,32,33,37,40,24,29,29,23,3,12,1,6,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,15,10,3,9,4,3,7,1,1,3,4,1,3,9,3,1,0,3,0,3,5,6,1,0,0,0,0,4,0,2,0,0,1,0,0,0,25,14,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430968U,LYCEE GENERAL PRIVE,ST-JACQUES DE COMPOSTELLE,PRIVE SOUS CONTRAT,78,33.0,45,18,8,0,0,0,0,9,2,20,7,22,10,23,27,19,21,20,12,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,1,0,2,1,14,3,2,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0,0,6,9,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,YSSINGEAUX,0430065M,LYCEE GEN.ET TECHNOL.PRIVE,SAINT-GABRIEL,PRIVE SOUS CONTRAT,68,29.0,39,0,0,0,0,0,0,12,5,16,14,21,14,27,20,16,14,19,15,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,10,10,5,1,5,4,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,3,0,0,0,0,0,2,0,1,3,0,0,0,1,0,10,5,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630018C,LYCEE GENERAL,BLAISE PASCAL,PUBLIC,309,145.0,164,56,9,7,2,0,0,42,18,62,35,55,48,101,117,69,76,78,55,8,39,7,29,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,52,30,6,3,9,11,17,1,1,6,8,2,5,27,3,4,3,2,5,8,3,3,3,0,2,2,0,2,1,0,1,0,0,2,2,1,43,41,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630019D,LYCEE INTERNATIONAL,JEANNE D'ARC,PUBLIC,451,158.0,293,69,14,0,0,0,0,91,25,179,60,120,49,202,133,99,92,99,56,0,0,10,42,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,94,53,52,15,67,34,0,0,5,39,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,ISSOIRE,0630034V,LYCEE GENERAL ET TECHNOLOGIQUE,MURAT,PUBLIC,271,115.0,156,48,18,0,0,0,0,59,22,80,52,69,49,84,71,56,52,68,53,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,12,8,12,8,13,10,2,9,16,1,0,0,3,1,0,0,7,2,8,8,8,2,6,1,2,4,2,0,2,1,3,3,5,0,18,25,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0630052P,LYCEE GENERAL ET TECHNOLOGIQUE,C. ET P. VIRLOGEUX,PUBLIC,342,143.0,199,74,21,0,0,0,0,64,39,93,67,75,52,103,99,71,75,91,70,0,0,0,0,15,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,47,45,12,9,15,14,15,6,0,0,18,7,0,0,3,7,2,3,6,4,4,2,7,2,3,7,5,8,3,0,4,2,3,8,0,0,52,19,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0631034G,LYCEE GENERAL PRIVE,SAINTE MARIE,PRIVE SOUS CONTRAT,82,35.0,47,17,6,0,0,0,0,14,6,26,17,22,16,26,26,14,18,14,13,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,8,9,0,1,2,1,7,4,0,0,3,0,0,0,1,1,5,3,0,1,2,1,1,0,0,0,4,6,0,0,3,1,0,0,2,1,9,6,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,AUBENAS,0070004S,LYCEE POLYVALENT,ASTIER,PUBLIC,29,24.0,5,0,0,0,0,0,0,0,3,0,0,1,0,5,22,5,24,1,3,2,13,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,5,0,0,2,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,BOURG-SAINT-ANDEOL,0070066J,LYCEE GENERAL ET TECHNOL PR,MARIE RIVIER,PRIVE SOUS CONTRAT,97,35.0,62,11,6,0,0,0,0,17,9,18,11,21,12,43,26,38,18,34,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,6,2,0,3,4,1,0,0,4,2,2,11,3,0,0,2,3,0,1,1,1,1,2,0,2,0,1,0,1,0,0,0,0,0,5,6,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,PRIVAS,0070021K,LYCEE POLYVALENT,VINCENT D 'INDY,PUBLIC,179,79.0,100,31,11,0,0,0,0,40,23,45,43,29,28,52,44,44,44,38,35,0,0,0,0,0,0,0,0,13,6,0,0,8,3,0,0,0,0,0,0,25,21,12,8,2,3,4,6,0,0,5,0,0,0,5,3,0,1,0,0,1,3,0,1,4,6,3,6,1,0,0,1,1,0,2,1,35,19,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,CREST,0260006R,LYCEE POLYVALENT,FRANCOIS JEAN ARMORIN,PUBLIC,92,42.0,50,18,3,0,0,0,0,19,19,25,18,32,26,25,28,13,17,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,9,4,5,5,1,0,0,3,1,0,0,3,3,3,4,3,2,0,1,3,0,1,4,0,0,0,1,0,0,1,0,0,0,10,1,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,ROMANS-SUR-ISERE,0260066F,LYCEE GENERAL PRIVE,SAINT MAURICE,PRIVE SOUS CONTRAT,134,62.0,72,21,4,0,0,0,0,21,21,45,29,40,31,40,48,23,32,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,11,10,7,10,11,3,0,0,6,0,0,0,2,5,0,1,2,1,4,1,0,0,1,7,1,1,0,0,0,0,1,1,3,3,4,1,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,SAINT-VALLIER,0261397C,LPO LYCEE DES METIERS,HENRI LAURENS,PUBLIC,106,42.0,64,12,9,0,0,0,0,25,17,24,17,28,21,38,23,29,20,36,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,5,3,2,1,3,4,0,0,3,3,0,0,1,4,2,1,2,0,2,3,1,1,5,5,0,1,4,3,1,1,3,1,2,0,10,2,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,VALENCE,0260069J,LYCEE GENERAL PRIVE,NOTRE DAME,PRIVE SOUS CONTRAT,240,99.0,141,30,4,0,0,0,0,43,19,66,37,54,39,79,77,72,66,59,23,0,0,4,30,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,35,17,13,6,8,8,8,2,3,22,8,2,0,0,5,13,4,2,2,0,5,1,2,0,4,1,7,8,2,0,0,0,0,1,1,1,34,15,,
